Round Number,Date,Location,Home Team,Away Team,Group,Result
6,05/12/2017 20:45,"Karaiskakis Stadium, Piraeus",Olympiacos,Juventus,Group D,0 - 2
6,06/12/2017 20:45,"Ljudski vrt, Maribor",Maribor,Sevilla,Group E,1 - 1
6,06/12/2017 20:45,"Anfield, Liverpool",Liverpool,Spartak Moscow,Group E,7 - 0
6,06/12/2017 20:45,"De Kuip, Rotterdam",Feyenoord,Napoli,Group F,2 - 1
6,06/12/2017 20:45,"Metalist Stadium, Kharkiv",Shakhtar Donetsk,Manchester City,Group F,2 - 1
6,06/12/2017 20:45,"Red Bull Arena, Leipzig",RB Leipzig,Besiktas,Group G,1 - 2
6,06/12/2017 20:45,"Estádio do Dragão, Porto",Porto,Monaco,Group G,5 - 2
6,06/12/2017 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Borussia Dortmund,Group H,3 - 2
6,06/12/2017 20:45,"Wembley Stadium, London",Tottenham Hotspur,APOEL,Group H,3 - 0
Round of 16 - Game 1,13/02/2018 20:45,"Juventus Stadium, Turin",Juventus,Tottenham Hotspur,,2 - 2
Round of 16 - Game 1,13/02/2018 20:45,"St. Jakob-Park, Basel",Basel,Manchester City,,0 - 4
Round of 16 - Game 1,14/02/2018 20:45,"Estádio do Dragão, Porto",Porto,Liverpool,,0 - 5
Round of 16 - Game 1,14/02/2018 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Paris Saint-Germain,,3 - 1
Round of 16 - Game 1,20/02/2018 20:45,"Stamford Bridge, London",Chelsea,Barcelona,,1 - 1
Round of 16 - Game 1,20/02/2018 20:45,"Allianz Arena, Munich",Bayern Munich,Besiktas,,5 - 0
Round of 16 - Game 1,21/02/2018 20:45,"Ramón Sánchez Pizjuán, Seville",Sevilla,Manchester United,,0 - 0
Round of 16 - Game 1,21/02/2018 20:45,"Metalist Stadium, Kharkiv",Shakhtar Donetsk,Roma,,2 - 1
Round of 16 - Game 2,06/03/2018 20:45,"Anfield, Liverpool",Liverpool,Porto,,0 - 0
Round of 16 - Game 2,06/03/2018 20:45,"Parc des Princes, Paris",Paris Saint-Germain,Real Madrid,,1 - 2
Round of 16 - Game 2,07/03/2018 20:45,"Wembley Stadium, London",Tottenham Hotspur,Juventus,,1 - 2
Round of 16 - Game 2,07/03/2018 20:45,"City of Manchester Stadium, Manchester",Manchester City,Basel,,1 - 2
Round of 16 - Game 2,13/03/2018 20:45,"Old Trafford, Manchester",Manchester United,Sevilla,,1 - 2
Round of 16 - Game 2,13/03/2018 20:45,"Stadio Olimpico, Rome",Roma,Shakhtar Donetsk,,1 - 0
Round of 16 - Game 2,14/03/2018 18:00,"Vodafone Park, Istanbul",Besiktas,Bayern Munich,,1 - 3
Round of 16 - Game 2,14/03/2018 20:45,"Camp Nou, Barcelona",Barcelona,Chelsea,,3 - 0
Qtr Finals - Game 1,03/04/2018 20:45,"Ramón Sánchez Pizjuán, Seville",Sevilla,Bayern Munich,,1 - 2
Qtr Finals - Game 1,03/04/2018 20:45,"Juventus Stadium, Turin",Juventus,Real Madrid,,0 - 3
Qtr Finals - Game 1,04/04/2018 20:45,"Anfield, Liverpool",Liverpool,Manchester City,,3 - 0
Qtr Finals - Game 1,04/04/2018 20:45,"Camp Nou, Barcelona",Barcelona,Roma,,4 - 1
Qtr Finals - Game 2,10/04/2018 20:45,"City of Manchester Stadium, Manchester",Manchester City,Liverpool,,1 - 2
Qtr Finals - Game 2,10/04/2018 20:45,"Stadio Olimpico, Rome",Roma,Barcelona,,3 - 0
Qtr Finals - Game 2,11/04/2018 20:45,"Allianz Arena, Munich",Bayern Munich,Sevilla,,0 - 0
Qtr Finals - Game 2,11/04/2018 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Juventus,,1 - 3
Semi Finals - Game 1,24/04/2018 20:45,"Anfield, Liverpool",Liverpool,Roma,,
Semi Finals - Game 1,25/04/2018 20:45,"Allianz Arena, Munich",Bayern Munich,Real Madrid,,
Semi Finals - Game 2,01/05/2018 20:45,"Santiago Bernabéu, Madrid",Real Madrid,Bayern Munich,,
Semi Finals - Game 2,02/05/2018 20:45,"Stadio Olimpico, Rome",Roma,Liverpool,,
